Year,Month,Temperature
1968,8,21.429032258064517
1968,9,17.711333333333336
1968,10,12.570645161290322
1968,11,5.073000000000001
1968,12,-1.0919354838709678
1969,1,-1.4619354838709677
1969,2,0.4453571428571429
1969,3,2.2374193548387096
1969,4,11.449000000000002
1969,5,16.32838709677419
1969,6,19.331666666666663
1969,7,23.371935483870967
1969,8,22.889677419354832
1969,9,18.631333333333334
1969,10,10.565483870967741
1969,11,5.33
1969,12,0.8103225806451613
1970,1,-2.693548387096774
1970,2,1.8539285714285716
1970,3,3.609677419354839
1970,4,9.681
1970,5,16.139354838709675
1970,6,20.4
1970,7,23.29806451612903
1970,8,22.975161290322582
1970,9,18.083000000000002
1970,10,11.25
1970,11,5.164333333333333
1970,12,0.8770967741935485
1971,1,-1.4364516129032259
1971,2,0.8182142857142857
